date,AS7922,AS2119,AS8767,AS37100,AS15169,AS16276,AS13335,AS6830
2019-03-06,36,48,46,46,32,31,43,162
2019-03-07,36,44,26,20,33,31,39,160
2019-03-08,36,46,23,42,34,31,48,157
2019-03-09,36,47,25,20,33,31,43,158
2019-03-10,18,49,23,21,30,29,47,164
2019-03-11,18,51,27,21,44,29,43,163
2019-03-12,18,50,28,20,32,30,45,160
2019-03-13,19,49,26,22,35,29,45,166
2019-03-14,19,49,26,21,39,29,44,163
2019-03-15,19,53,27,44,33,29,49,165
2019-03-16,19,49,27,21,34,29,42,166
2019-03-17,19,49,27,23,31,29,51,160
2019-03-18,19,102,28,20,33,29,102,163
2019-03-19,19,52,28,20,35,29,49,160
2019-03-20,54,50,27,44,40,29,44,162
2019-03-21,36,51,28,23,42,29,41,164
2019-03-22,18,56,27,23,33,29,39,167
2019-03-23,18,52,28,21,35,30,39,167
2019-03-24,18,106,27,21,32,29,106,163
2019-03-25,18,54,27,20,30,29,50,167
2019-03-26,36,56,25,20,82,29,82,166
2019-03-27,18,53,27,22,35,29,50,170
2019-03-30,18,50,24,60,32,31,42,170
2019-03-31,18,51,60,60,37,31,44,172
2019-04-01,51,53,40,19,35,32,42,171
2019-04-02,18,52,22,21,37,31,49,168
2019-04-03,36,52,23,21,30,31,51,168
2019-04-04,36,50,26,21,40,31,43,165
2019-04-05,36,48,44,21,35,31,41,168
2019-04-06,36,47,24,20,62,62,49,164
2019-04-07,36,47,25,20,32,31,46,158
