2018-11-18 IP-1659876 19036,20326 1
2018-11-18 IP-0923309 19036,20326 1
2018-11-18 IP-3540293 19036,20326 2
2018-11-18 IP-0656554 19036,20326 1
2018-11-18 IP-0684836 19036,20326 1
2018-11-18 IP-1063663 19036,20326 1
2018-11-18 IP-2145654 19036,20326 2
2018-11-18 IP-2897655 19036,20326 1
2018-11-18 IP-2161340 19036,20326 1
2018-11-18 IP-3540294 19036,20326 1
2018-11-18 IP-0876464 19036,20326 1
2018-11-18 IP-3540295 19036,20326 1
2018-11-18 IP-1548230 19036,20326 1
2018-11-18 IP-1910432 19036,20326 1
2018-11-18 IP-0684871 19036,20326 1
2018-11-18 IP-1315251 19036,20326 1
2018-11-18 IP-1959733 19036,20326 1
2018-11-18 IP-3540296 19036,20326 1
2018-11-18 IP-3540297 19036,20326 1
2018-11-18 IP-1464749 19036,20326 1
2018-11-18 IP-2235148 19036,20326 1
2018-11-18 IP-3464518 19036,20326 1
2018-11-18 IP-2526395 19036,20326 1
2018-11-18 IP-3540298 19036,20326 1
2018-11-18 IP-3540299 19036,20326 1
2018-11-18 IP-2946828 19036,20326 1
2018-11-18 IP-3540300 19036,20326 1
2018-11-18 IP-3540301 19036,20326 1
2018-11-18 IP-0684910 19036,20326 1
2018-11-18 IP-3540302 19036,20326 1
2018-11-18 IP-1910463 19036,20326 1
2018-11-18 IP-3540303 19036,20326 1
2018-11-18 IP-3540304 19036,20326 1
2018-11-18 IP-3540305 19036,20326 1
2018-11-18 IP-1048184 19036,20326 1
2018-11-18 IP-1131734 19036,20326 1
2018-11-18 IP-3540306 19036,20326 1
2018-11-18 IP-1569227 19036,20326 2
2018-11-18 IP-3519095 19036,20326 1
2018-11-18 IP-3061657 19036,20326 1
2018-11-18 IP-3495749 19036,20326 1
2018-11-18 IP-1048200 19036,20326 1
2018-11-18 IP-3540307 19036,20326 2
2018-11-18 IP-3540308 19036,20326 1
2018-11-18 IP-2769281 19036,20326 1
2018-11-18 IP-3540309 19036,20326 1
2018-11-18 IP-3530062 19036,20326 2
