created_hourly,all,Google,Cloudflare,ISP
2018-10-14 02:00:00,99.771239252189,99.34973141080012,99.38195302843016,100.0
2018-10-14 03:00:00,99.7712753371717,99.26719278466742,99.75124378109453,100.0
2018-10-14 04:00:00,99.77073286425805,99.32508436445444,99.74905897114178,100.0
2018-10-14 05:00:00,99.77118510336122,99.29854096520762,99.50248756218906,100.0
2018-10-14 06:00:00,99.78711661278878,99.43518780005648,99.37578027465668,100.0
2018-10-14 07:00:00,99.7946936197094,99.38045620951844,99.75186104218362,100.0
2018-10-14 08:00:00,99.80282356652734,99.40895018294398,99.37810945273633,100.0
2018-10-14 09:00:00,99.8102766798419,99.40577249575551,99.62779156327544,100.0
2018-10-14 10:00:00,99.84187223276408,99.52045133991537,99.75031210986268,100.0
2018-10-14 11:00:00,99.90506329113924,99.77433004231312,99.75,100.0
